,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Unnamed: 11,Year_of_debut,Last_played,Country
535,['Rajin Saleh '],2003-2008,24,46,2,1141,89,25.93,0,7,8,,2003,2008,BAN
536,['BT Foakes '],2018-2024,25,46,7,1139,113,29.2,2,4,3,,2018,2024,ENG
537,['DT Lindsay '],1963-1970,19,31,1,1130,182,37.66,3,5,2,,1963,1970,SA
538,['MC Carew '],1963-1972,19,36,3,1127,109,34.15,1,5,1,,1963,1972,WI
539,['Faisal Iqbal '],2001-2010,26,44,2,1124,139,26.76,1,8,4,,2001,2010,PAK
540,['G Gunn '],1907-1930,15,29,1,1120,122,40.0,2,7,3,,1907,1930,ENG
541,['PHKD Mendis '],2022-2024,10,17,2,1110,182,74.0,5,4,0,,2022,2024,SL
542,['SC Williams '],2013-2024,15,29,2,1109,151,41.07,4,3,0,,2013,2024,ZIM
543,['AC Bannerman '],1879-1893,28,50,2,1108,94,23.08,0,8,3,,1879,1893,AUS
544,['CC Lewis '],1990-1996,32,51,3,1105,117,23.02,1,4,6,,1990,1996,ENG
545,['IK Pathan '],2003-2008,29,40,5,1105,102,31.57,1,6,5,,2003,2008,IND
546,['BP Nash '],2008-2011,21,33,0,1103,114,33.42,2,8,0,,2008,2011,WI
547,['CJ Barnett '],1933-1948,20,35,4,1098,129,35.41,2,5,1,,1933,1948,ENG
548,['WG Grace '],1880-1899,22,36,2,1098,170,32.29,2,5,2,,1880,1899,ENG
549,['CB Wishart '],1995-2005,27,50,1,1098,114,22.4,1,5,6,,1995,2005,ZIM
550,['Alimuddin '],1954-1962,25,45,2,1091,109,25.37,2,7,6,,1954,1962,PAK
551,['BOP Fernando '],2019-2023,21,37,4,1091,102,33.06,1,7,2,,2019,2023,SL
552,['VG Kambli '],1993-1995,17,21,1,1084,227,54.2,4,3,3,,1993,1995,IND
553,['PSP Handscomb '],2016-2023,20,35,6,1079,110,37.2,2,5,2,,2016,2023,AUS
554,['DJ Malan '],2017-2022,22,39,0,1074,140,27.53,1,9,2,,2017,2022,ENG
555,['AMJ Hilditch '],1979-1985,18,34,0,1073,119,31.55,2,6,3,,1979,1985,AUS
556,['SG Barnes '],1938-1948,13,19,2,1072,234,63.05,3,5,1,,1938,1948,AUS
557,['Waqar Hasan '],1952-1959,21,35,1,1071,189,31.5,1,6,0,,1952,1959,PAK
558,['JH Sinclair '],1896-1911,25,47,1,1069,106,23.23,3,3,7,,1896,1911,SA
559,['ED Solkar '],1969-1977,27,48,6,1068,102,25.42,1,6,1,,1969,1977,IND
560,['JKC Holt '],1954-1959,17,31,2,1066,166,36.75,2,5,2,,1954,1959,WI
561,['RW Chakabva '],2011-2021,22,43,4,1061,101,27.2,1,5,3,,2011,2021,ZIM
562,['Mohammad Rafique '],2000-2008,33,63,6,1059,111,18.57,1,4,8,,2000,2008,BAN
563,['RA Woolmer '],1975-1981,19,34,2,1059,149,33.09,3,2,4,,1975,1981,ENG
564,['Saleem Yousuf '],1982-1990,32,44,5,1055,91,27.05,0,5,2,,1982,1990,PAK
565,['C White '],1994-2002,30,50,7,1052,121,24.46,1,5,8,,1994,2002,ENG
566,['Sarfraz Nawaz '],1969-1984,55,72,13,1045,90,17.71,0,4,6,,1969,1984,PAK
567,['Nasir Hossain '],2011-2017,19,32,2,1044,100,34.8,1,6,2,,2011,2017,BAN
568,['S Madan Lal '],1974-1986,39,62,16,1042,74,22.65,0,5,7,,1974,1986,IND
569,['DP Sibley '],2019-2021,22,39,3,1042,133,28.94,2,5,6,,2019,2021,ENG
570,['DR Flynn '],2008-2013,24,45,5,1038,95,25.95,0,6,8,,2008,2013,NZ
571,['MG Hughes '],1985-1994,53,70,8,1032,72,16.64,0,2,10,,1985,1994,AUS
572,['Abdul Qadir '],1977-1990,67,77,11,1029,61,15.59,0,3,7,,1977,1990,PAK
573,['RS Madugalle '],1982-1988,21,39,4,1029,103,29.4,1,7,4,,1982,1988,SL
574,['KD Karthik '],2004-2018,26,42,1,1025,129,25.0,1,7,4,,2004,2018,IND
575,['GJ Rennie '],1997-2002,23,46,1,1023,93,22.73,0,7,5,,1997,2002,ZIM
576,['S Abid Ali '],1967-1974,29,53,3,1018,81,20.36,0,6,3,,1967,1974,IND
577,['AF Rae '],1948-1953,15,24,2,1016,109,46.18,4,4,1,,1948,1953,WI
578,['Fawad Alam '],2009-2022,19,30,4,1011,168,38.88,5,2,3,,2009,2022,PAK
579,['KJ Wadsworth '],1969-1976,33,51,4,1010,80,21.48,0,5,5,,1969,1976,NZ
580,['Waqar Younis '],1989-2003,87,120,21,1010,45,10.2,0,0,21,,1989,2003,PAK
581,['J Srinath '],1991-2002,67,92,21,1009,76,14.21,0,4,13,,1991,2002,IND
582,['SJ Snooke '],1906-1923,26,46,1,1008,103,22.4,1,5,1,,1906,1923,SA
583,['Umar Akmal '],2009-2011,16,30,2,1003,129,35.82,1,6,1,,2009,2011,PAK
584,['PV Simmons '],1988-1997,26,47,2,1002,110,22.26,1,4,4,,1988,1997,WI
585,['JG Bracewell '],1980-1990,41,60,11,1001,110,20.42,1,4,13,,1980,1990,NZ
586,['EJM Cowan '],2011-2013,18,32,0,1001,136,31.28,1,6,2,,2011,2013,AUS
587,['IWG Johnson '],1946-1956,45,66,12,1000,77,18.51,0,6,10,,1946,1956,AUS
