,Unnamed: 0,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_watts,kilojoules,device_watts,average_temp,day_of_year,year,pace_min,pace_min_sec
114,114,2,Run with Hortense,10.0957,3486,3949,18.7,Run,Run,0.0,8381828012,2023-01-12 19:14:31+00:00,2023-01-12T19:14:31Z,(GMT+00:00) Europe/London,0.0,,,,29,1,0,2,0,False,False,False,False,everyone,False,,"[51.491405479609966, -0.09985134936869144]","[51.491847122088075, -0.09808679111301899]",2.896,7.241,,False,,,False,False,12.5,2.8,8990163436.0,8990163436.0,4f069d27-ce74-4e17-992f-8c4886d1f846-activity.fit,False,22,0,False,32760347,1,a8381828012,i`hyHj_RE_@Sc@E[KIWTa@z@MD[IYJc@@QDa@XSDeArAc@lAw@DuA_@IBk@fDKjBCJKFIXBjAEf@KRa@^i@POJGT_@tB[@Yd@SLQVSf@k@h@Of@}@rACVGNm@j@[f@URSDUV[h@s@xAq@r@MdAKTGFq@OQOi@SmASUQWEQM[ESMw@GQ@aA`@S?CVsAKe@c@c@GkAHQG]JO?o@h@OBe@QgAQSSIS]VWJkAO[Dk@V{@Du@e@UAc@TYDs@McBDOCy@e@YIa@@g@XkAYI@?LKJ_@NH?c@QS@YTk@Ro@FQd@Ct@DnAGzBNp@EdAF^E|@Dz@DHn@GRPD\AVTnBMt@ARHRJ@b@m@F?X`@VrANb@Jp@M@JRHt@j@jCj@nBd@jCHNPRLj@?PCNQXSNYb@cA`@}@j@UVGRBz@RH`@lELx@?l@RfAXz@Pv@dArAh@pAvBfCVLPARVFXFHPBRNf@n@RNzAVhBp@l@J`@A~@T^BfBl@tCVxDj@BNAEAt@EZD`@Eh@@`BEzA?zBEhE@p@Gt@IFs@CmB]{@CeDg@iA[kAKgAa@aASSZKVw@?[SuAIu@]oA_@c@SQOMYuAu@Ya@YK]_@UKi@g@qBmAw@w@i@y@iAqA]i@i@uAYc@Ig@Qi@Ia@KOOo@e@oAMICIGaASoAWqCa@kAKkAKWAsAQgAQkCKo@C{@IUCaAIc@CmBKuADgBC}AHoAC{AB_BCgBBeBCkBEM@m@EgA?kACsACuEEi@g@_B?SFKXYl@IlA[vBFt@JbG@t@Mb@e@RGf@PpAH\VIDGG?GJOhAJh@Ih@N\Aj@VXD^Kr@At@JfDFdAKJMD?t@Vj@Ix@HjCIFHDVD?`@Q`@GlAKj@BjAOVDFVLJ@q@RKh@Fb@Cx@Lt@GxBRd@ET]HEj@H`AkAVm@h@i@T_@pC}CPu@n@u@~@_ABQd@w@Pk@HOXSf@u@AJDIp@QHQJe@T_@JGj@B?UMc@E[?e@CWFkANiAB{@Jg@NUREtCDHQ@q@Ei@c@_@_@Eq@e@G?Kl@B`@Kf@M\NaAEUBtBGTSPCFEj@GNIn@CnAM`CSx@Yj@ML}@`@AE\?VUJU@[DQh@a@HUCsABuAHkAT}@^U~@I,2,,,,,12,2023,5.754925364263993,5:45
115,115,2,Afternoon Run,2.3814,778,820,6.4,Run,Run,,8355067415,2023-01-07 15:46:07+00:00,2023-01-07T15:46:07Z,(GMT+00:00) Europe/London,0.0,,,,0,0,0,2,0,False,False,False,False,everyone,False,,"[51.537555484101176, -0.15117273665964603]","[51.53579528443515, -0.1272706501185894]",3.061,7.524,,False,,,False,False,36.2,20.4,8960417677.0,8960417677.0,3544133b-4fb6-4773-87af-236699e9dd41-activity.fit,True,0,0,False,32760347,1,a8355067415,wvpyHlz[V_Af@iA@]JO@QKa@W_@w@k@Sc@IG[Ig@k@GC_@{@c@q@c@aAUQMQGFw@mAg@o@KOK_@MQWw@a@eBSq@AoBBu@Ki@KWFg@d@}@h@[X[JUx@e@z@w@h@o@BK?KEY@WCM]o@[sAO]Y{@Kg@Yo@EYSc@g@uBi@kA]eAYcASgAGOMOGQKOEUBO^gAl@iATm@Pm@h@_@b@e@r@SVSZOr@Md@Wh@_@`@M\WN_@EKSWi@gAOmAGMIGCICa@BSRk@b@e@`@aAh@[JYH[DMVEP@h@CR@\AHCFIJo@TQ,2,,,,,7,2023,5.444976344447244,5:26
116,116,2,Afternoon Run,3.6888,964,974,21.7,Run,Run,0.0,8353323623,2023-01-07 15:24:23+00:00,2023-01-07T15:24:23Z,(GMT+00:00) Europe/London,0.0,,,,0,1,0,1,0,False,False,False,False,everyone,False,,"[51.53658444061875, -0.15227805823087692]","[51.536664655432105, -0.15231996774673462]",3.827,5.438,,False,,,False,False,42.3,30.2,8958449388.0,8958449388.0,f17690c6-47a5-4f55-bf47-ebf9c141ffe5-activity.fit,False,0,0,False,32760347,1,a8353323623,ehpyHtp\h@MpAg@f@M\AdAc@tAYn@[PAD@B^Cj@Br@DPHNLHVBl@GL@`@VJNf@t@Tf@Nh@Hj@FdABpFDrAr@dHR^lAxAr@dAPZVn@~@x@b@d@NV^p@Ph@R|@J`ADp@Gf@ENYNm@JSLSb@e@`Ba@`AMHMDS@[FKJWLEDKBg@d@WPgAh@gAb@eAz@cAjAILI\_@`CQt@Mj@EBA?CKBm@\iDL{BVyBJ_CASDsAHq@Bs@Hq@DaATaC@{@CGGA]BsBd@[BMEEGIYIBMf@QR]B_BVa@BWFg@Du@CKC]JG?KCCEAk@Ei@Dw@Nw@tAwFp@uDXaAXuBr@{CRaB^aCHaCDi@FQb@_@V]JWB[Os@YUUKi@LuAh@UL_@Je@Tq@H,2,,,,,7,2023,4.355526639196125,4:21
117,117,2,Afternoon Run,2.6289000000000002,857,1046,13.9,Run,Run,,8355067908,2023-01-07 15:07:14+00:00,2023-01-07T15:07:14Z,(GMT+00:00) Europe/London,0.0,,,,0,1,0,2,0,False,False,False,False,everyone,False,,"[51.53424798510969, -0.12713519856333733]","[51.53750385157764, -0.15234737657010555]",3.068,9.732,,False,,,False,False,33.1,18.3,8960418468.0,8960418468.0,24fea440-093a-4138-a26b-b7a47b62db51-activity.fit,True,0,0,False,32760347,1,a8355067908,}tpyHr|W]Vo@~@Sb@k@h@EPIf@INGBCCE?KJERHr@@f@GfBG\c@~@[h@Oh@QVw@fCU|@y@zB[d@u@n@OPaAxAQt@Ef@GZ]t@c@pAQ\Mf@i@dACp@GNCDQDYJIFc@l@IHYr@G^?b@HdAFb@?XRbAAr@Oz@Wx@G^Wd@AZQl@EZ@JDFN@ZCNH?BYZCLDl@RxA?j@CPm@bB[`A[p@ALBJ?FSRWl@a@h@G\Iv@?`@Dd@h@hBF`@?~@F^HZT`@BPN^Nl@JLDVHJ?RlB|F}@f@d@l@TtAZh@BR?d@Ff@XjALr@HPHh@`@h@Pr@NTLb@Zf@Xb@RJLNVb@VVZRRT,2,,,,,7,2023,5.433197661886466,5:25
118,118,2,Night Run,5.2416,1525,1645,61.9,Run,Run,0.0,8333670499,2023-01-03 21:28:56+00:00,2023-01-03T21:28:56Z,(GMT+00:00) Europe/London,0.0,,,,9,0,0,1,0,False,False,False,False,everyone,False,,"[51.57950397580862, -0.09961732663214207]","[51.57702268101275, -0.09872348047792912]",3.437,5.532,,False,,,False,False,65.9,22.0,8936508391.0,8936508391.0,b790d9cf-2487-4703-b32d-a6e9f3f57e6e-activity.fit,False,7,0,False,32760347,1,a8333670499,mayyH``SDlA@j@Bb@@rAJzBFVH@VMv@Yd@Yh@Cn@KJ?FFZ\FdA@FH?BD@v@PpBD`ATbA@XEJg@d@ORQN_@d@a@Z]LGDGX@RFXNj@P^Lb@Vh@J`@Vl@Xd@h@nARx@\|@VbAd@fCHl@@\VtBVlDRnB?^Hj@H|@@^AC@I@H?FIPL`@Hf@FnATrAh@pAd@|@Tn@PRHXNVT`AFHVDj@gAJMVS\i@f@_@b@e@^q@h@OROLS^_@TOf@U`AuAdAeAXa@Jm@lA{CCI[Qm@i@q@c@G@i@QaAe@OOUGUMbB~@b@PJ@PPRBRF^ZdAf@JZNNJTNNn@`A^\j@jAHDPMJAAVZl@B@d@_BNQl@iA\u@Pm@Ra@Lu@N[La@Xi@DO@]^o@Ha@Zm@Rw@P]N_@Hi@DIHi@Z[fAsBNSR_@Z{@^g@Vi@Zg@HSf@o@Te@b@e@P]PUrAkAh@mANUd@i@@EZMJAJBHCXs@ZqA`@}@|@_BBG@QCa@KWg@{@E[a@i@w@sBIOOMKc@aAoBoAyBy@_B_AiAUg@u@kAUc@k@o@_@[a@k@m@gAo@eAY_@EAGImAkBiAoAWm@]o@OOO_@QOW_@a@a@KQMYW[QGUAw@BKBYLg@HIDWT}@f@k@Ra@J[Ny@XWLg@LMHIJKFM@YLg@Li@Zi@n@k@^]PcBn@,2,,,,,3,2023,4.849028286528287,4:50
119,119,2,Afternoon Run,5.5361,1788,1997,57.7,Run,Run,0.0,8321976301,2023-01-01 17:15:27+00:00,2023-01-01T17:15:27Z,(GMT+00:00) Europe/London,0.0,,,,2,1,0,1,0,False,False,False,False,everyone,False,,"[51.57957044430077, -0.09917593561112881]","[51.577791133895516, -0.0989548210054636]",3.096,6.022,,False,,,False,False,65.5,19.1,8922883234.0,8922883234.0,ff1816d0-85d0-4584-a3e2-a116ca0ad045-activity.fit,False,0,0,False,32760347,1,a8321976301,_lyyHzlR_@Fy@@aAXo@DU?QHEJHf@Bd@FPZvBBdBAh@Fv@Cj@Dt@ApADrBJbAF|BDd@?|@DRHNFj@CNAp@B|@DRNDFEKa@@CNIb@GZGn@@l@GXKVAJC^WZEHCNM^G\SlAaAbAg@hAq@ZELGn@]NAZPREN?B`AFNGDJT@LCd@HTE\@jAJr@LdA?PIVQNK`@KFQTu@l@EB@EGJ]TAJ?XZzAlAnDn@lAZz@h@`Bb@hBj@tDVfDRxAb@bGF^FDNFXMt@g@LMj@_@EAA@AALMl@_@l@[XY`@U`@a@^Ur@m@XSz@_@Ha@FMZCPDV\v@f@zCxAlA|@VVH?DBN`@TRd@l@jAxBPTLb@ZF\u@j@cBXo@~A{E^oA\u@v@aCZw@H_@N[BICQJK?ILOHCP_@T]HQ\a@J[Tc@b@aAVc@~@mB\e@z@_ABIHKl@i@PKZi@d@m@l@iAX[d@s@NINAJDLCTYDu@Hi@d@{AHMJG`@m@DUAOeA{B[e@g@uAY]e@_ASQEOc@y@{AcDUo@]s@m@w@o@eAiA{A_AwA_AmAi@w@[o@q@i@s@yA{@aAc@u@a@g@O[_@i@g@s@YYy@mAQO[E_@H_Bx@UPo@\uAp@SNe@TONs@PwA~@kBr@uAz@aBp@]LQ@yBLACB?E?GC,2,,,,,1,2023,5.382850743303047,5:22
120,120,2,Evening Run,3.3211999999999997,881,945,53.2,Run,Run,0.0,8194975053,2022-12-01 19:54:03+00:00,2022-12-01T19:54:03Z,(GMT+00:00) Europe/London,0.0,,,,0,4,0,1,0,False,False,False,False,everyone,False,,"[51.57945024780929, -0.09963895194232464]","[51.577956760302186, -0.09899362921714783]",3.77,6.45,,False,,,False,False,65.5,22.0,8779073285.0,8779073285.0,e260edf5-5e39-4f1f-a3c6-084c5058ab6e-activity.fit,False,0,0,False,32760347,1,a8194975053,s`yyHf`S?pBNfA@lAAZ?nABNDBLAr@_@NGZERSr@QD@NJJN\@JBJZDZ?p@LdCFt@PhAC^BR?NOLYP_@Z]\ILMFUVOHGTAXBJTd@Nx@L`@lA~Cd@hA~@fCLh@Rv@^~BDt@TdBBl@L`@?KD@N?t@Uf@[|@c@DGXOd@Kd@Wh@S`@CR@\LLELQDALj@FRRVPN^Tx@^F@DAFKEGAD@CF@f@j@HHjAj@H?JSVwAb@kARcAZgAp@sBZq@\_AZe@\_ARc@f@uAv@cBDWMMk@[s@}@aA_Ag@o@ABAEH@WQsAeBIUCQOOGQB_@VgAHuA?w@EOEEGCI?UH]?c@CoB?WDcA@OCMKUiAA]@KMUK]a@}BcCuHMcBK{@SuDG_@GoBSsBGSK@OF,2,,,,,335,2022,4.421092777710868,4:25
121,121,2,Morning Run,10.1311,3129,3601,169.0,Run,Run,0.0,7863981362,2022-09-25 09:44:50+00:00,2022-09-25T10:44:50Z,(GMT+00:00) Europe/London,3600.0,,,,28,3,0,1,0,False,False,False,False,everyone,False,,"[51.57947958447039, -0.09954817593097687]","[51.5901165548712, -0.10417817160487175]",3.238,5.42,,False,,,False,False,101.1,21.6,8403932001.0,8403932001.0,dc344bc9-3453-4965-8d8f-ed211a84be98-activity.fit,False,4,0,False,32760347,1,a7863981362,gayyHl_SDhCAvAD\DvBD^FFPCZYRGb@GPKnA[~AAf@G\Fj@K`@F`AD`@CHDXFdBjA|@Jx@[JIDMZYn@Ix@SFFJVNFPr@PNLDhAJb@Cd@D^Id@@~@KLGLi@LMLWFEjAIj@QXCvBNhAPx@D^CZJLRLr@BT?nACXA|BCZ[Vy@nAc@f@WPo@x@cDhFk@r@e@nAUv@i@dAc@lAOTQ`@M`@Or@Qd@Ot@Yp@ETgAnHy@nGYrD@pAE`A?nAM`D@|BE`@OrGBn@IvBArBIxA@jDCf@@z@HpAAV?jBKjBMfAC`@]`Cc@dCKbAEfAS`CE~@Eb@IpDBP?TEfAD`CJpBLjAJnBNfAD|CJdCD~BCtCCRBp@At@KtCCfBM|BWbCSvAO|@IZKn@i@|Bs@|D_@nAy@tBU`A?RBP?PHJCRBRGj@Sh@CVGvAFRADGVk@pAILGBQEa@wAIGe@Zk@PgA?o@HUGKUG_@?aAMsCG_C_@cIwBSO@QLSZMRI\Cd@@j@Eb@?RIRMN@LFMAb@ACDb@EfAKTC`@EV@p@APWRS\YPm@pAe@Rg@b@i@Re@ZIJEJU|AKh@K\Ez@B|@Jd@@f@Hn@BFDGCKFBH\AD[?o@Mc@U}A_A_@I[?g@F_D`AoAf@c@HEAMHo@NgAFo@AoBPsADkAEe@Ye@ACUCoA@mAGm@IgBg@yDMm@Sq@k@sAsA_CDCACGHWU_@]m@y@c@c@OG}AeAg@SYY]Kg@i@a@OqA}@_@Mu@u@CGA[FUHMD[Hs@AOYw@Ya@SQQYQg@Wg@SWMIQEEDHFg@q@GQUmAQ[_AeA}@gCO[I[Ks@Cg@@u@CSi@qAAc@g@}CGw@[gAM{@Cc@@WJENWTk@Ro@Xk@Kq@Oi@Se@QYc@uADE@FFG@BHO?GIDFSLm@HoAIqBE}GOwACm@@y@K_ABGLDFCNYFYTqAA{@B[\sAHc@HaAnAaGJw@^uEHYLQFWEsA?_BCi@Bu@Fe@Va@ZUZq@\kAP]pAeABGD]G_@@KDMJIpBo@r@@v@I^F|Bc@l@AbAUR?x@NHIBYDs@CaD@q@KqBLiA?SEq@GQOK@MH[?IC_A@eAUkDo@gDYo@Wc@Uo@[kBAU@UEBAACE?IKU?QJSCw@k@sEa@gCIgAC}@,2,,,,,268,2022,5.147516064395771,5:08
122,122,2,Morning Run,10.4076,3275,3388,153.6,Run,Run,0.0,7558125699,2022-07-31 09:48:24+00:00,2022-07-31T10:48:24Z,(GMT+00:00) Europe/London,3600.0,,,,32,1,0,1,0,False,False,False,False,everyone,False,,"[51.57935067079961, -0.09965881705284119]","[51.59007892012596, -0.10464822873473167]",3.178,6.456,,False,,,False,False,101.1,20.9,8060376529.0,8060376529.0,7ae823cd-67c4-4c69-a6d4-494409b03dd4-activity.fit,False,31,0,False,32760347,1,a7558125699,}ayyHzmRBILI?MKs@HGZAd@QhAIVIx@AfAMh@Sx@?n@QjAE~@YhACdBYDDBN?z@Dv@?bAFlBZnELpALVFDDCAOBOHIfBmAXKV@VVRf@FTNjDH~@Nz@n@xBZp@T\z@j@z@NlBCbCi@bCFhAThAFfAVL\BVAb@MxA@~@Cz@IrAEPiA~@e@j@s@j@aAhAa@h@g@|@o@~@u@nA}@bCy@fBaAbCQrAw@bCU~@YdBw@`HSfA[~CKz@I`CF|CMbD@x@Ct@BjACpBGpA?tAB`@@tAI|BAhAGp@ClBOfBClB@x@EjBMxBWbBYxC_@jCGvAKt@Ep@IdE?n@Dd@AzADjBBp@TpBPhCPjEFzBDl@ChAFzA?hAKdB?vBObA?hAc@fDGnBMxAe@zCw@vCo@pCw@`Co@lCCXB^H@HA@CG?Kv@g@zACj@Ef@@t@Ef@ILYZMh@MRG@MSUwAKQ_CZ{ADQSIUCS@u@C}AG_BAcBQgEGcC[Cc@FgAAUJKLa@x@ANH~@F?CJEb@Yn@GFFFGNo@b@}@Da@G[FSVQf@Gl@Cn@Dn@Hf@?zACZM^s@h@[h@M~@KhASxA?r@Hf@J`@Xn@Vt@@EUG@A@DBREBsAQq@SoB}@_AMCBP?[JgBZe@XgD`AoD@wBXmBJe@CIE?GWSOAIMCa@Cs@@uCIyBo@_Em@eB_A{As@oAUWMEMM}@mAcFuCo@q@cBs@c@KuAm@AId@q@DKZmCCO_@q@[Y]MQQe@_AUYg@Yg@e@YuA?UESYa@e@[KMIMWs@Y[q@sCEaABk@C]K]Wa@Eu@Ms@Gq@@KJ[Na@DBI[Mu@Gg@EqAKu@GOKIARdAgCFWASK_@u@eAUe@AIRa@Rm@Hw@AY_@{A_CeFMYCS@[PUXGp@Bb@e@HSHa@?WCk@DSv@cAp@ARMDI?ENAJGB?@PH@RQRK@[?}@HaBB}ANsC@NBy@B_ED_CEmCFoEGoADc@T_APMPEXk@VWLw@Lc@zAmAFm@Ce@@MDKPGxBYlAGf@LvAQd@[t@WxAy@dAEDI?gAM{AM_AKyA?UR}@@MGm@S_@@MFM?_@O}DMu@Q{@O_@e@sB[}@Q[Qk@a@_C?KDUSm@NKBM@M_@}B_AgFGm@?e@EkAOsBYsBYcEm@eCBFBC,2,,,,,212,2022,5.244564869262206,5:14
123,123,2,Evening Run,5.3296,1479,1644,70.2,Run,Run,0.0,7532943438,2022-07-26 17:49:49+00:00,2022-07-26T18:49:49Z,(GMT+00:00) Europe/London,3600.0,,,,2,5,0,1,0,False,False,False,False,everyone,False,,"[51.579376235604286, -0.10080361738801003]","[51.57515955157578, -0.10136822238564491]",3.603,5.402,,False,,,False,False,50.9,25.0,8032446598.0,8032446598.0,63622076-df2f-4cf6-a2e7-f02c5609aeff-activity.fit,False,1,0,False,32760347,1,a7532943438,abyyH`uRBRCVJpEAn@HhABbA?vF@`@HRJFRC~@e@`AURAp@Kx@Gj@Kh@@ZDR@JCJGbAAdAFJAJ@l@Zd@`@Z\LJp@FHCb@Wh@m@LIbBk@DK?IGc@Qo@Oy@YiAs@kBMe@q@gB@ED?DM?WBO\a@PKn@Wd@K\CD@TRRDHAHYJcAZyAv@aC\k@n@kAr@gARWJEXFTEj@ADC^o@NMVIv@GVDRNFLHl@NZNJ`ATv@Jh@GJBPPdAhBPVTp@bAzBl@bAx@|@^VRDH?bAg@LAN@JFtAhAh@l@`DrEr@lALXHXHr@F~AC~@Op@KVMHWAWFKBk@b@]Jg@De@?}@Dq@@uCPkAEs@YMK]m@c@iAQsAAeAGw@KYQIc@?MFc@BOPg@`AONWLJCGHKB[?]O]EQDQHSDCAD@@A?BGFG@o@B{@Ha@Ce@?KCk@]q@k@_@g@q@{AMe@c@oAMs@Ek@?mACk@@oBJaAT{@^wBLS\]r@qAj@y@v@i@^OVGb@]f@MdAQz@[JCZBd@Fd@BPLLZZh@Xt@Tb@TZ^x@XdAAHAEDPZdAd@jAx@~AVjAJlABr@Et@@dBC|@Gz@U`BMb@YZu@\KCy@Es@[]Si@SMAWB_APS?iAEcAMa@DyAGy@Ko@OOG_@[e@m@Wa@Uq@Qw@]qBWw@ScAUi@UYKGEAWF{CfB,2,,,,,207,2022,4.6251125788051635,4:37
124,124,2,Running with the 'rona,11.3505,4909,5890,172.0,Run,Run,0.0,7281902338,2022-06-09 17:10:21+00:00,2022-06-09T18:10:21Z,(GMT+00:00) Europe/London,3600.0,,,,1,3,0,2,0,False,False,False,False,everyone,False,,"[51.57939643599093, -0.09907107800245285]","[51.58914844505489, -0.10253054089844227]",2.312,6.77,,False,,,False,False,101.1,20.9,7756664409.0,7756664409.0,f3d81120-1940-4ca4-a61c-8f8ed3ce56e6-activity.fit,False,0,0,False,32760347,1,a7281902338,ebyyHfjRHNF@\InEOrCYp@QdBSvDS\D~@`NDXZf@lC{AZGLN^t@H^PxCTxBLh@h@zA|@xAfAf@l@H~AAlC_@vAA~El@ZJFN?l@YzHW@qA|AqAnA_DtEw@|A_@bAaAbB?MIIAFPZa@r@sA|Dg@nBWx@}@tFOrAL_@LAK^i@tDK^?f@SpBC|ABjAE\IhEOb@Cj@Kf@KbHBb@G`BBA?}@Fi@FNAz@B`DEnCKjA?tBM~BCFCGBTCLYfI]zDcA`IQjCEtBL`J\~ETpBVzK@hAG|A@xAIzDMfCw@xHcAjGsAtFuA`EKNAMHGT~AIj@DV_@~@Op@C\Fx@Uf@S|@ORWWe@uB]`@mAVy@IgAHD@QYGWM{BKuFSwDCaC@f@{@YmAKa@J[h@A?BIKLC^DdBOx@GF@AEKDZECOLi@n@IAPQILQFkAFo@XEEYtAATHfBEvAIh@m@dA_@rAi@fEBnBEWEBOAG}@Mw@_@_BSg@g@s@_@SBEEMs@q@oBkABE?MIY[i@W_AYk@c@aDQe@KEi@F{@GLMCI_@FSGsBJCVBf@I`C?jADXTh@LbABtA`@fIJhFAKSL}@NYNUCoAPqBKIMSG?GQCGKB}@G{AMeAKgBa@cD[qAyAgC?IJQAIBGO?JI@HEDDMCJBCIB@IIDc@Ow@oAoA_B[YeB}@k@k@iA]}@u@w@Su@m@EKg@SI]@Yh@{Ce@cAq@g@@EGAUYUe@I[_@YkBwDs@u@c@o@[Wm@cBKo@A}@@}A_@}@YmCUeAAg@CQYc@S}A@g@DUh@gAt@qBGa@y@yAQm@J?BLSYPSPs@Ka@K_AGs@?gAh@sAFm@YaB[wB?sAI}@K[FQTI^o@J[PyBEiAb@yA^_Cn@iBJg@PcB@kAd@k@Ru@FyAIaF@k@F]Zw@^Q@J?Yx@wCRWjAy@HU@YGm@q@gAe@kCpAIv@UhFUv@MLPJ`@NtBJFDIf@vA?TFCFM?S|@k@R]NM~@]HQOuCAoAO}@A_@@UP_A?OKo@W_@Nm@IyDc@_C]y@Km@g@oAi@mB[iBA]DS^[?RLQDYOk@E_@IQ[wAw@}EI{AMy@w@yIs@wEGiAO}@A[]{A@QXK@KXa@z@s@\M\@r@[ED,2,,,,,160,2022,7.2081993451096125,7:12
126,126,2,Morning Run,2.4543000000000004,1454,1696,125.4,Run,Run,0.0,7021616418,2022-04-22 08:24:06+00:00,2022-04-22T09:24:06Z,(GMT+00:00) Europe/London,3600.0,,,,0,0,0,1,0,False,False,False,True,only_me,False,,"[56.884932685643435, -4.870928870514035]","[56.86790585517883, -4.861582461744547]",1.688,2.857,,False,,,False,False,210.2,82.5,7473426674.0,7473426674.0,ff8a6574-7e7f-42ae-9d0f-68f18ddd87f4-activity.fit,False,0,0,False,32760347,1,a7021616418,yiezIhjv\P?JTJJ\t@ZdAHNDZ?j@]lDUjB?^DLHJL?JEl@e@H@?DFKZQBGJCZYLGLCZFtAfAn@`@fBxAZHb@ERK`Bg@v@Qz@Wn@OHAHBDDRAHLC??BFOLK|@YfAMRGVAZ?lAPv@Df@FRFd@Hx@Xt@PnAd@RBXG~@{@h@o@PWJUrAqBb@q@z@y@n@eAL[F_@d@uDRqAL_@PUNQf@]?I?BRUT_@PMZa@|@{@d@a@f@i@l@{@~B_Cx@_A^YRY`AcA\i@n@k@dAqALGt@cANOj@gARM^K`AG`@B`@KDBVWZKJKLUZcAHi@z@yDHm@Dm@CcABeAASAFBKB_@,2,,,,,112,2022,9.873826888861725,9:52
128,128,2,Afternoon Run,6.0234,1999,2305,19.5,Run,Run,0.0,6569664999,2022-01-23 14:23:26+00:00,2022-01-23T14:23:26Z,(GMT+00:00) Europe/London,0.0,,,,11,0,0,1,0,False,False,False,False,everyone,False,,"[51.5061753988266, -0.11748259887099266]","[51.50701384060085, -0.11522258631885052]",3.013,5.506,,False,,,False,False,12.3,4.0,6985869403.0,6985869403.0,d34218a8-6cd0-43d3-9f5f-8a94300abb52-activity.fit,False,0,0,False,32760347,1,a6569664999,qxjyHh}UJj@^f@TLP@XZ`@RRPL@JFZf@LZHHFBPCJJZFf@AVVFAJ@^TDHJJLBPBAQt@b@JEN?BBLOHENFNN~@b@?@f@N@CPDJCLNJDHQBJTFBCGA`@JTCLF^Dl@?^DBA^JV@`@LBFD@r@IJ?j@LNFh@@`@Lh@?`ARDCN?XJ\?XDHFj@J\Bj@P\ANJFEN@VBPF\DNAL@d@N\GDBZBb@JLFb@BTDHA^SXFNHh@HZHN?HJh@D`@L^@j@NF?@VALs@rJ]rGEXCDCDG@Q?KIUC_CEa@M]Q?AA@B@CDkAI]Ga@@]CqAOK@E@ONSp@Cf@BZNd@@NGLQJE@OEOAMPOF_ABUFKABGACWB}A^c@HqAj@SGeEIIGI[@OC_@@g@GmADQB{@LoAA{AAFEAA??IIBMEOISJW@OEKA_BF_@[QEs@Ak@K]Cy@OqA?eAYeAGm@MM@GGUNOADA?DAAAI]CSb@HN@NMDG?YSoAOyA[{Ao@EMEY?MBIAIU?@ACCE@QWMGKOG@ICOKMMWi@II_@QUOe@e@YOk@c@YQa@c@YSk@y@a@u@m@y@ECYFGCGOUy@[y@S[GSE]@g@Kk@Sk@QaAWu@E_Ac@{A{@yEK_AD[BALDDAFGBM?S_@oEMmAWyGCiCG}@@qADgB?mKCe@M_@e@a@IUDgBDY@e@AaDAAENCGJc@@QCw@UiAYaAP_@f@WZD^QXEzAEp@D\EjBDd@AV@b@Fd@Cr@?F@@B?FEDI?KEG@MRAFBXEdA@LC`BEn@@l@C`BF|BCh@FDH?NM?KC`@ATFZBz@H`@?v@?C@JDfBLf@FhA?vABhACPOd@EV@NDd@BlANrAJnBFTLhABr@d@lAFb@Bn@TfADLBRVX\VR\JB?HJKF?@HFC,2,,,,,23,2022,5.531206074088832,5:31
